Vía de acceso;Comunidad autónoma de destino;Motivo del viaje;Tipo de alojamiento;Forma de organización del viaje;Duración del viaje;País de residencia;Periodo;Total
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;4.127.293
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;4.334.651
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;7.176.984
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;7.767.211
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;8.848.665
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;9.091.390
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M06;7.498.156
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M05;6.988.353
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M04;6.106.316
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M03;4.039.532
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M02;3.179.288
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M01;2.501.443
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;282.800
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;424.499
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;552.119
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;491.244
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;230.308
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;298.116
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M06;430.281
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M05;542.405
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M04;417.369
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M03;366.007
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M02;227.395
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M01;148.350
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;3.319.525
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;3.554.483
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;6.128.414
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;6.863.955
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;8.156.393
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;8.304.492
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M06;6.668.228
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M05;5.931.285
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M04;5.204.968
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M03;3.358.283
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M02;2.632.372
Total de vías de acceso;Total nacional;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M01;2.009.257
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;524.968
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;355.669
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;496.451
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;412.013
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;461.963
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;488.782
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M06;399.647
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M05;514.663
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M04;483.979
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M03;315.242
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M02;319.521
Total de vías de acceso;Total nacional;Otros motivos;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M01;343.836
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;533.927
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;592.129
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;1.048.112
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;1.101.005
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;1.295.900
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;1.122.579
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M06;1.009.682
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M05;1.040.000
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M04;908.068
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M03;609.932
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M02;425.087
Total de vías de acceso;01 Andalucía;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M01;323.469
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;39.205
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;67.726
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;82.579
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;67.938
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;19.620
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M07;30.535
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M06;55.161
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M05;53.494
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M04;60.861
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M03;34.145
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M02;26.066
Total de vías de acceso;01 Andalucía;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M01;14.291
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;424.359
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M11;469.604
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M10;896.684
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M09;956.012
Total de vías de acceso;01 Andalucía;Ocio, recreo y vacaciones;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M08;1.176.217
