Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Extranjera;Gasto total;Valor absoluto;2019;16.051.837,51
Extranjera;Gasto total;Valor absoluto;2018;16.081.752,60
Extranjera;Gasto total;Valor absoluto;2017;14.275.284,89
Extranjera;Gasto total;Valor absoluto;2016;13.233.735,91
Extranjera;Gasto total;Valor absoluto;2015;11.931.422,85
Extranjera;Gasto medio por persona;Valor absoluto;2024;1.008,78
Extranjera;Gasto medio por persona;Valor absoluto;2023;987,62
Extranjera;Gasto medio por persona;Valor absoluto;2022;920,98
Extranjera;Gasto medio por persona;Valor absoluto;2021;751,03
Extranjera;Gasto medio por persona;Valor absoluto;2020;704,82
Extranjera;Gasto medio por persona;Valor absoluto;2019;797,82
Extranjera;Gasto medio por persona;Valor absoluto;2018;832,94
Extranjera;Gasto medio por persona;Valor absoluto;2017;825,66
Extranjera;Gasto medio por persona;Valor absoluto;2016;841,20
Extranjera;Gasto medio por persona;Valor absoluto;2015;788,09
Extranjera;Gasto medio diario por persona;Valor absoluto;2024;123,30
Extranjera;Gasto medio diario por persona;Valor absoluto;2023;120,23
Extranjera;Gasto medio diario por persona;Valor absoluto;2022;108,01
Extranjera;Gasto medio diario por persona;Valor absoluto;2021;78,55
Extranjera;Gasto medio diario por persona;Valor absoluto;2020;83,72
Extranjera;Gasto medio diario por persona;Valor absoluto;2019;111,17
Extranjera;Gasto medio diario por persona;Valor absoluto;2018;105,96
Extranjera;Gasto medio diario por persona;Valor absoluto;2017;101,13
Extranjera;Gasto medio diario por persona;Valor absoluto;2016;96,40
Extranjera;Gasto medio diario por persona;Valor absoluto;2015;89,61
España;Viajes;Valor absoluto;2024;162.807.630
España;Viajes;Valor absoluto;2023;166.604.638
España;Viajes;Valor absoluto;2022;155.253.027
España;Viajes;Valor absoluto;2021;135.687.709
España;Viajes;Valor absoluto;2020;96.449.394
España;Viajes;Valor absoluto;2019;173.754.971
España;Viajes;Valor absoluto;2018;176.772.352
España;Viajes;Valor absoluto;2017;176.399.801
España;Viajes;Valor absoluto;2016;166.218.791
España;Viajes;Valor absoluto;2015;160.331.085
España;Duración media de los viajes;Valor absoluto;2024;3,90
España;Duración media de los viajes;Valor absoluto;2023;3,86
España;Duración media de los viajes;Valor absoluto;2022;3,92
España;Duración media de los viajes;Valor absoluto;2021;4,11
España;Duración media de los viajes;Valor absoluto;2020;4,67
España;Duración media de los viajes;Valor absoluto;2019;3,74
España;Duración media de los viajes;Valor absoluto;2018;3,65
España;Duración media de los viajes;Valor absoluto;2017;3,75
España;Duración media de los viajes;Valor absoluto;2016;3,87
España;Duración media de los viajes;Valor absoluto;2015;3,85
España;Pernoctaciones;Valor absoluto;2024;634.272.564
España;Pernoctaciones;Valor absoluto;2023;643.629.048
España;Pernoctaciones;Valor absoluto;2022;608.235.505
España;Pernoctaciones;Valor absoluto;2021;557.278.462
España;Pernoctaciones;Valor absoluto;2020;450.689.308
España;Pernoctaciones;Valor absoluto;2019;649.516.399
España;Pernoctaciones;Valor absoluto;2018;644.365.970
España;Pernoctaciones;Valor absoluto;2017;660.794.364
España;Pernoctaciones;Valor absoluto;2016;643.050.482
España;Pernoctaciones;Valor absoluto;2015;616.515.918
España;Gasto total;Valor absoluto;2024;40.419.760,72
España;Gasto total;Valor absoluto;2023;39.698.362,56
