Vía de acceso;Comunidad autónoma de destino;Motivo del viaje;Tipo de alojamiento;Forma de organización del viaje;Duración del viaje;País de residencia;Periodo;Total
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M12;5.209.085
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M11;5.135.498
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M10;8.187.022
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M09;8.795.425
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M08;10.186.163
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M07;10.116.916
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M06;8.307.460
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M05;8.300.384
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M04;7.228.094
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M03;5.247.341
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M02;4.320.665
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M01;4.134.995
Total de vías de acceso;Total nacional;Total de motivos del viaje;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2022M12;4.127.293
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M12;280.033
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M11;435.424
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M10;606.756
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M09;498.439
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M08;153.751
Total de vías de acceso;Total nacional;Negocios y otros motivos profesionales;Total de tipos de alojamiento;Total de formas de organización del viaje;Total noches;Total país de residencia;2023M07;339.885
